1,0.0012497,0.0008929,0.0006483,0.0009303
2,0.0024313,0.0019621,0.0018208,0.0020714
3,0.0022378,0.0022424,0.0020838,0.002188
4,0.0026174,0.0023669,0.0022013,0.0023952
5,0.0026049,0.0025477,0.0025601,0.0025709
6,0.0034603,0.0035603,0.0035125,0.00351103333333333
7,0.0037714,0.0041232,0.0037492,0.00388126666666667
8,0.0041581,0.0042483,0.0041993,0.0042019
9,0.0048821,0.0060801,0.0045821,0.00518143333333333
10,0.0045009,0.0045086,0.0049274,0.00464563333333333
11,0.0048485,0.0049602,0.0051909,0.00499986666666667
12,0.0052173,0.0047926,0.0048799,0.00496326666666667
13,0.0051666,0.0058044,0.005628,0.005533
14,0.0057177,0.0064854,0.0060208,0.00607463333333333
15,0.0061018,0.0061072,0.0064453,0.0062181
16,0.0066976,0.0061721,0.0057939,0.0062212
17,0.0072085,0.0079206,0.0085116,0.00788023333333333
18,0.0078353,0.0074734,0.0078088,0.00770583333333333
19,0.0095111,0.0098543,0.0100306,0.00979866666666667
20,0.0088015,0.0089351,0.0088907,0.00887576666666667
