90.8608,-310.069,-116.463
-24.1233,53.0423,-86.5029
-5.52762,3.71036,-66.3228
-32.6151,-64.4205,-104.572
125.811,-256.183,-104.837
106.908,-286.279,-103.932
129.505,-259.688,-109.697
62.0987,-240.87,-106.835
-38.1981,121.084,-106.648
115.738,-248.001,-107.226
-0.0321601,0.000727659,0.0272669,-0.0571322,0.120643,-0.092156,0.20664,0.205446,0.0409843,0.00894283,1.70353
-0.583172,0.182773,0.0781292,0.0344358,-0.402586,-0.608951,-0.373951,-0.368128,0.106748,-0.541838,-0.49635
